324,중앙동 주민센터,02-879-4291,서울특별시 관악구 양녕로6다길 7
325,청룡동 주민센터,02-879-4381,서울특별시 관악구 쑥고개로 44
326,청림동 주민센터,02-879-4321,서울특별시 관악구 관악로40길 39
327,행운동 주민센터,02-879-4351,서울특별시 관악구 행운1길 43
328,난곡동 주민센터,02-879-4621,서울특별시 관악구 난곡로30길 40
329,난향동 주민센터,02-879-4651,서울특별시 관악구 난곡로 67
330,대학동 주민센터,02-879-4801,서울특별시 관악구 신림로 111
331,미성동 주민센터,02-879-4591,서울특별시 관악구 난곡로 249
332,삼성동 주민센터,02-879-4771,서울특별시 관악구 호암로 589
333,서림동 주민센터,02-879-4741,서울특별시 관악구 신림로29길 6
334,서원동 주민센터,02-879-4681,서울특별시 관악구 신림로 282
335,신림동 주민센터,02-879-4501,서울특별시 관악구 신림동길 14
336,신사동 주민센터,02-879-4531,서울특별시 관악구 조원로 142
337,신원동 주민센터,02-879-4711,서울특별시 관악구 신원로3길 13-6
338,조원동 주민센터,02-879-4561,서울특별시 관악구 조원로12길 25
339,남현동 주민센터,02-879-4471,서울특별시 관악구 남현1가길 29
340,방배1동 주민센터,02-2155-7741,서울특별시 서초구 효령로29길 43
341,방배2동 주민센터,02-2155-7789,서울특별시 서초구 청두곶길 36
342,방배3동 주민센터,02-2155-7817,서울특별시 서초구 방배로10길 10-20
343,방배4동 주민센터,02-2155-7850,서울특별시 서초구 방배로 173
344,방배본동 주민센터,02-2155-7728,서울특별시 서초구 동광로19길 38
345,양재2동 주민센터,02-2155-7944,서울특별시 서초구 강남대로12길 44
346,양재1동 주민센터,02-2155-7890,서울특별시 서초구 바우뫼로 41
347,반포3동 주민센터,02-2155-7665,서울특별시 서초구 신반포로23길 78
348,잠원동 주민센터,02-2155-7552,서울특별시 서초구 나루터로 38
349,반포1동 주민센터,02-2155-7608,서울특별시 서초구 사평대로 273
350,반포2동 주민센터,02-2155-7626,서울특별시 서초구 신반포로15길 16
351,반포4동 주민센터,02-2155-7701,서울특별시 서초구 사평대로28길 70
352,반포본동 주민센터,02-2155-7608,서울특별시 서초구 신반포로 10
353,서초1동 주민센터,02-2155-7421,서울특별시 서초구 사임당로 89
354,서초2동 주민센터,02-2155-7451,서울특별시 서초구 서초대로70길 51
355,서초3동 주민센터,02-2155-7480,서울특별시 서초구 반포대로10길 10
356,서초4동 주민센터,02-2155-7518,서울특별시 서초구 서운로26길 3
357,내곡동 주민센터,02-2155-7934,서울특별시 서초구 염곡말길 9
358,역삼1동 주민센터,02-3423-8620,서울특별시 강남구 역삼로7길 16
359,역삼2동 주민센터,02-3423-7370,서울특별시 강남구 도곡로43길 25
360,개포1동 주민센터,02-3423-7670,서울특별시 강남구 개포로 310-17
361,개포2동 주민센터,02-3423-7770,서울특별시 강남구 개포로 511
362,개포4동 주민센터,02-3423-7870,서울특별시 강남구 개포로38길 12
363,일원2동 주민센터,02-3423-8470,서울특별시 강남구 개포로 607
364,청담동 주민센터,02-3423-7720,서울특별시 강남구 압구정로79길 26
365,삼성1동 주민센터,02-3413-7820,서울특별시 강남구 봉은사로 616
366,삼성2동 주민센터,02-3423-8220,서울특별시 강남구 봉은사로 419
367,대치1동 주민센터,02-3423-8320,서울특별시 강남구 남부순환로391길 19
